Time (ns),Voltage (mV)
0.0,391.613513595996
80000000.0,391.613513595996
160000000.0,375.9880367442854
240000000.0,365.2455214087344
320000000.0,360.36255989257484
400000000.0,342.78389843440044
480000000.0,340.8307138279366
560000000.0,326.181829279458
640000000.0,297.8606524857326
720000000.0,296.88406018250066
800000000.0,280.2819910275582
880000000.0,217.78008362071597
960000000.0,166.99728385265664
1040000000.0,157.23136082033753
1120000000.0,139.65269936216316
1200000000.0,31.250953703421125
1280000000.0,7.812738425855281
1360000000.0,-17.578661458174384
1440000000.0,-33.20413830988495
1520000000.0,-60.54872280037843
1600000000.0,-109.37833796197394
1680000000.0,-198.24823755607775
1760000000.0,-219.7332682271798
1840000000.0,-240.2417065950499
1920000000.0,-241.2182988982818
2000000000.0,-253.91399884029664
2080000000.0,-264.65651417584763
2160000000.0,-288.0947294534135
2240000000.0,-311.53294473097935
2320000000.0,-326.181829279458
2400000000.0,-349.62004455702385
2480000000.0,-369.15189062166206
2560000000.0,-456.06860560930204
2640000000.0,-474.6238593707083
2720000000.0,-485.36637470625936
2800000000.0,-503.92162846766564
2880000000.0,-513.6875514999847
2960000000.0,-529.3130283516953
3040000000.0,-546.8916898098697
3120000000.0,-575.2128666035951
3200000000.0,-584.0021973326823
3280000000.0,-583.0256050294504
3360000000.0,-590.8383434553057
3440000000.0,-591.8149357585376
3520000000.0,-586.931974242378
3600000000.0,-572.2830896938993
3680000000.0,-558.6107974486526
3760000000.0,-548.8448744163335
3840000000.0,-542.9853205969421
3920000000.0,-542.0087282937102
4000000000.0,-528.3364360484634
4080000000.0,-514.6641438032167
4160000000.0,-509.7811822870571
4240000000.0,-496.10889004181035
4320000000.0,-481.4600054933317
4400000000.0,-465.83452864162115
4480000000.0,-448.25586718344675
4560000000.0,-426.7708365123447
4640000000.0,-424.8176519058809
4720000000.0,-408.21558275093844
4800000000.0,-408.21558275093844
4880000000.0,-368.1752983184301
4960000000.0,-374.0348521378216
5040000000.0,-362.31574449903866
5120000000.0,-354.50300607318337
5200000000.0,-328.1350138859218
5280000000.0,-313.4861293374432
5360000000.0,-294.93087557603684
5440000000.0,-267.5862910855434
5520000000.0,-252.93740653706473
5600000000.0,-243.17148350474562
5680000000.0,-215.82689901425215
5760000000.0,-199.22482985930966
5840000000.0,-167.97387615588855
5920000000.0,-151.37180700094606
6000000000.0,-148.44203009125033
6080000000.0,-61.52531510361034
6160000000.0,9.765923032319101
6240000000.0,34.18073061311686
6320000000.0,56.64235358745079
